      5,594,419  GC Heap bytes
         63,830  GC Heap objects

   Object Bytes     Count  Type
            296         2  System.Windows.Forms.ToolStripScrollButton  [System.Windows.Forms.dll]
            296         1  MS.Internal.TextFormatting.LineServicesCallbacks  [PresentationCore.dll]
            288         1  Entry<MS.Internal.ContentType,MS.Internal.AppModel.StreamToObjectFactoryDelegate>[]  [System.Private.CoreLib.dll]
            288         1  Entry<MS.Internal.ContentType,MS.Internal.AppModel.StreamToObjectFactoryDelegateCore>[]  [System.Private.CoreLib.dll]
            288         1  System.Windows.Input.Win32MouseDevice  [PresentationCore.dll]
            288         1  System.Windows.Media.Imaging.BitmapFrameDecode  [PresentationCore.dll]
            280         8  System.Double[]  [System.Private.CoreLib.dll]
            280         3  System.Threading.TimerQueue[]  [System.Private.CoreLib.dll]
            280         1  BlockEntry[]  [PresentationFramework.dll]
            272         1  MS.Internal.Automation.AutomationAttributeInfo[]  [UIAutomationClient.dll]
            264         4  MS.Utility.SixItemList<System.Windows.PropertyValue>  [WindowsBase.dll]
            264         2  StickyLabel  [System.Windows.Forms.dll]
            264         1  System.Windows.Forms.ToolStripSeparator  [System.Windows.Forms.dll]
            256       175  System.Xaml.Schema.TypeReflector  [System.Xaml.dll]
            256        26  System.Windows.Interop.InteropBitmap  [PresentationCore.dll]
            256        14  System.Windows.Controls.ControlTemplate  [PresentationFramework.dll]
            256         3  System.Windows.DataTemplate  [PresentationFramework.dll]
            256         1  SwitchBlade.App  [SwitchBlade.dll]
            256         1  UseContentTemplate  [PresentationFramework.dll]
            256         1  DefaultTemplate  [PresentationFramework.dll]
            256         1  <CppImplementationDetails>.$ArrayType$$$BY09UCONTROL_TABLE@TtfDelta@Internal@MS@@  [DirectWriteForwarder.dll]
            248       124  System.ComponentModel.ReflectPropertyDescriptor  [System.ComponentModel.TypeConverter.dll]
            248         2  System.Windows.Input.RoutedUICommand[]  [PresentationCore.dll]
            248         1  System.Windows.Input.Cursor[]  [PresentationCore.dll]
            248         1  System.Text.Json.Serialization.Metadata.JsonPropertyInfo<System.Collections.Generic.List<System.String>>  [System.Text.Json.dll]
            248         1  System.Text.Json.Serialization.Metadata.JsonPropertyInfo<System.String>  [System.Text.Json.dll]
            248         1  System.Windows.Media.Animation.AnimationClock  [PresentationCore.dll]
            240         4  System.Windows.Baml2006.Baml2006SchemaContext  [PresentationFramework.dll]
            240         3  System.Buffers.SharedArrayPoolPartitions[]  [System.Private.CoreLib.dll]
            240         2  System.Windows.Controls.ItemsPanelTemplate  [PresentationFramework.dll]
            240         1  Entry<MS.Internal.DpiScale2,System.Windows.Media.Matrix>[]  [System.Private.CoreLib.dll]
            240         1  System.Windows.ChildPropertyDependent[]  [PresentationFramework.dll]
            232         6  System.Windows.Threading.Dispatcher  [WindowsBase.dll]
            232         2  System.Collections.Concurrent.ConcurrentQueueSegment<System.Object>  [System.Private.CoreLib.dll]
            232         1  System.Windows.Baml2006.WpfSharedBamlSchemaContext  [PresentationFramework.dll]
            232         1  System.Windows.Controls.ItemCollection  [PresentationFramework.dll]
            216         5  NamespaceDeclaration[]  [PresentationFramework.dll]
            216         4  System.Windows.ChildRecord[]  [PresentationFramework.dll]
            216         1  CtrlTypePatterns[]  [UIAutomationClientsideProviders.dll]
            208         2  System.Globalization.CalendarData[]  [System.Private.CoreLib.dll]
            208         1  System.Windows.Input.InputManager  [PresentationCore.dll]
            200        95  MS.Internal.ComponentModel.DependencyObjectPropertyDescriptor  [WindowsBase.dll]
            200         1  System.Threading.ThreadPoolWorkQueue  [System.Private.CoreLib.dll]
            200         1  HillClimbing  [System.Private.CoreLib.dll]
            200         1  System.Buffers.ProbabilisticWithAsciiCharSearchValues<System.Buffers.IndexOfAnyAsciiSearcher+Ssse3AndWasmHandleZeroInNeedle>  [System.Private.CoreLib.dll]
            200         1  System.Buffers.ProbabilisticWithAsciiCharSearchValues<System.Buffers.IndexOfAnyAsciiSearcher+Default>  [System.Private.CoreLib.dll]
            200         1  Entry<System.RuntimeType>[]  [System.Private.CoreLib.dll]
            200         1  System.Windows.Media.Imaging.PngBitmapDecoder  [PresentationCore.dll]
            200         1  [CCW 0x1c113bcf618 for type System.Windows.Documents.TextStore]
            200         1  [CCW 0x1c113bcfe98 for type System.Windows.Input.DefaultTextStore]
            192         2  Entry<System.Int32,System.ComponentModel.TypeConverter>[]  [System.Private.CoreLib.dll]
            192         1  System.Threading.Tasks.TplEventSource  [System.Private.CoreLib.dll]
            192         1  Microsoft.Extensions.DependencyInjection.DependencyInjectionEventSource  [Microsoft.Extensions.DependencyInjection.dll]
            192         1  MS.Internal.Automation.AutomationPatternInfo[]  [UIAutomationClient.dll]
            192         1  Entry<System.String,MS.Internal.ContentType>[]  [System.Private.CoreLib.dll]
            192         1  Entry<MS.Utility.DpiAwarenessContextValue,System.IntPtr>[]  [System.Private.CoreLib.dll]
            192         1  Entry<System.String,System.Globalization.CultureData>[]  [System.Private.CoreLib.dll]
            192         1  System.Windows.Forms.ToolTip  [System.Windows.Forms.dll]
            192         1  Entry<System.Windows.Markup.XmlLanguage,System.UInt16[]>[]  [System.Private.CoreLib.dll]
            192         1  Entry<SwitchBlade.Contracts.IWindowProvider,System.Collections.Generic.HashSet<SwitchBlade.Contracts.WindowItem>>[]  [System.Private.CoreLib.dll]
            184       122  System.Windows.Baml2006.WpfKnownType  [PresentationFramework.dll]
            184        21  System.Windows.Style  [PresentationFramework.dll]
            184        13  System.Windows.ResourceDictionary  [PresentationFramework.dll]
            184         1  System.Buffers.ArrayPoolEventSource  [System.Private.CoreLib.dll]
            184         1  System.Diagnostics.Tracing.FrameworkEventSource  [System.Private.CoreLib.dll]
            184         1  System.Diagnostics.Tracing.NativeRuntimeEventSource  [System.Private.CoreLib.dll]
            184         1  System.Collections.Concurrent.CDSCollectionETWBCLProvider  [System.Collections.Concurrent.dll]
            176         1  System.Threading.LowLevelLifoSemaphore  [System.Private.CoreLib.dll]
            176         1  System.ComponentModel.DependencyPropertyDescriptor  [WindowsBase.dll]
            176         1  System.Text.Json.JsonSerializerOptions  [System.Text.Json.dll]
            176         1  MS.Internal.Data.DataBindEngine  [PresentationFramework.dll]
            176         1  System.Windows.Media.BoundsDrawingContextWalker  [PresentationCore.dll]
            176         1  System.Windows.Documents.TextEditor  [PresentationFramework.dll]
