      5,594,419  GC Heap bytes
         63,830  GC Heap objects

   Object Bytes     Count  Type
             40        10  HandleType  [WindowsBase.dll]
             40        10  PaddingWrapper  [System.Windows.Forms.dll]
             40        10  MS.Internal.Text.TextInterface.FontMetrics  [DirectWriteForwarder.dll]
             40         9  System.Reflection.CustomAttributeData[]  [System.Private.CoreLib.dll]
             40         9  MS.Utility.SingleItemList<System.Windows.ContainerDependent>  [WindowsBase.dll]
             40         8  System.Windows.Threading.PriorityChain<System.Windows.Threading.DispatcherOperation>  [WindowsBase.dll]
             40         8  System.Windows.Threading.DispatcherSynchronizationContext  [WindowsBase.dll]
             40         7  System.Lazy<System.Xaml.XamlMember>  [System.Private.CoreLib.dll]
             40         7  System.Windows.Forms.Padding  [System.Windows.Forms.Primitives.dll]
             40         7  Table<System.String,System.Reflection.RuntimeFieldInfo[]>  [System.Private.CoreLib.dll]
             40         7  System.Windows.DeferredResourceReference  [PresentationFramework.dll]
             40         7  System.Windows.DeferredResourceReferenceHolder  [PresentationFramework.dll]
             40         7  ListenerList<System.Collections.Specialized.NotifyCollectionChangedEventArgs>  [WindowsBase.dll]
             40         6  Table<System.String,System.Reflection.RuntimeMethodInfo[]>  [System.Private.CoreLib.dll]
             40         6  MS.Internal.AppModel.BamlStream  [PresentationFramework.dll]
             40         5  WorkStealingQueue  [System.Private.CoreLib.dll]
             40         5  System.Windows.Threading.DispatcherUnhandledExceptionEventArgs  [WindowsBase.dll]
             40         5  System.Windows.Threading.DispatcherUnhandledExceptionFilterEventArgs  [WindowsBase.dll]
             40         5  System.Configuration.ConfigurationSchemaErrors  [System.Configuration.ConfigurationManager.dll]
             40         5  System.Threading.ThreadLocal<System.Object>  [System.Private.CoreLib.dll]
             40         5  System.Windows.Markup.XmlnsDictionary  [PresentationFramework.dll]
             40         5  System.Windows.Controls.RowDefinitionCollection  [PresentationFramework.dll]
             40         5  System.Windows.Controls.RowDefinition[]  [PresentationFramework.dll]
             40         5  MS.Internal.Shaping.ScaledShapeTypeface  [PresentationCore.dll]
             40         4  System.Windows.Input.Cursor  [PresentationCore.dll]
             40         4  System.Gen2GcCallback  [System.Private.CoreLib.dll]
             40         4  System.Threading.LowLevelLock  [System.Private.CoreLib.dll]
             40         4  System.Windows.Baml2006.Baml2006ReaderSettings  [PresentationFramework.dll]
             40         4  CursorHandle  [WindowsBase.dll]
             40         4  System.Windows.Input.InputProviderSite  [PresentationCore.dll]
             40         3  System.Threading.ExecutionContext  [System.Private.CoreLib.dll]
             40         3  System.IO.EnumerationOptions  [System.Private.CoreLib.dll]
             40         3  System.Windows.Input.InputBindingCollection  [PresentationCore.dll]
             40         3  System.Runtime.CompilerServices.ConditionalWeakTable<System.Buffers.SharedArrayPoolThreadLocalArray[],System.Object>  [System.Private.CoreLib.dll]
             40         3  System.Collections.Generic.Queue<System.Xaml.XamlNode>  [System.Private.CoreLib.dll]
             40         3  System.Windows.Forms.ToolStripItemCollection  [System.Windows.Forms.dll]
             40         3  System.Windows.Media.FontFamily[]  [PresentationCore.dll]
             40         3  MS.Internal.Shaping.ScaledShapeTypeface[]  [PresentationCore.dll]
             40         2  System.Lazy<System.Windows.Baml2006.WpfSharedXamlSchemaContext>  [System.Private.CoreLib.dll]
             40         2  ListenerList  [WindowsBase.dll]
             40         2  EvtIdProperty[]  [UIAutomationClientsideProviders.dll]
             40         2  System.Collections.Concurrent.ConcurrentQueue<System.Object>  [System.Private.CoreLib.dll]
             40         2  System.Xaml.NameScopeDictionary  [System.Xaml.dll]
             40         2  System.Threading.IAsyncLocal[]  [System.Private.CoreLib.dll]
             40         2  System.Drawing.Bitmap  [System.Drawing.Common.dll]
             40         2  WeakReferenceList  [PresentationFramework.dll]
             40         2  System.Windows.LayoutEventList  [PresentationCore.dll]
             40         2  Table<System.String,System.Reflection.RuntimeEventInfo[]>  [System.Private.CoreLib.dll]
             40         2  System.ComponentModel.ReflectTypeDescriptionProvider  [System.ComponentModel.TypeConverter.dll]
             40         2  System.Windows.Documents.Highlights  [PresentationFramework.dll]
             40         2  System.Windows.EventSetter  [PresentationFramework.dll]
             40         2  IconHandle  [WindowsBase.dll]
             40         1  System.Threading.Tasks.TaskFactory  [System.Private.CoreLib.dll]
             40         1  NullTextWriter  [System.Private.CoreLib.dll]
             40         1  ThemeState  [PresentationFramework.dll]
             40         1  MS.Internal.WeakDictionary<System.Object,System.Collections.Generic.List<System.Collections.Generic.KeyValuePair<System.Int32,System.Object>>>  [PresentationFramework.dll]
             40         1  MS.Internal.Data.SynchronizationInfo  [PresentationFramework.dll]
             40         1  System.Collections.ObjectModel.ReadOnlyObservableCollection<System.Windows.Controls.ValidationError>  [System.ObjectModel.dll]
             40         1  System.Windows.SharedDp  [PresentationFramework.dll]
             40         1  System.Lazy<System.Windows.Baml2006.WpfSharedBamlSchemaContext>  [System.Private.CoreLib.dll]
             40         1  System.Windows.Documents.StaticTextPointer  [PresentationFramework.dll]
             40         1  MS.Utility.ManifestTraceProvider  [WindowsBase.dll]
             40         1  MS.Internal.ComponentModel.DependencyPropertyKind  [WindowsBase.dll]
             40         1  System.Lazy<System.Xaml.XamlSchemaContext>  [System.Private.CoreLib.dll]
             40         1  System.Lazy<System.Collections.ObjectModel.ReadOnlyCollection<System.Xaml.XamlType>>  [System.Private.CoreLib.dll]
             40         1  System.Lazy<System.Collections.ObjectModel.ReadOnlyCollection<System.Xaml.XamlDirective>>  [System.Private.CoreLib.dll]
             40         1  System.Windows.FocusWithinProperty  [PresentationCore.dll]
             40         1  System.Windows.MouseOverProperty  [PresentationCore.dll]
             40         1  System.Windows.MouseCaptureWithinProperty  [PresentationCore.dll]
             40         1  System.Windows.StylusOverProperty  [PresentationCore.dll]
             40         1  System.Windows.StylusCaptureWithinProperty  [PresentationCore.dll]
             40         1  System.Windows.Input.TouchesOverProperty  [PresentationCore.dll]
             40         1  System.Windows.Input.TouchesCapturedWithinProperty  [PresentationCore.dll]
             40         1  System.Windows.EventRoute[]  [PresentationCore.dll]
             40         1  MS.Internal.FontCache.FamilyCollection  [PresentationCore.dll]
             40         1  <CppImplementationDetails>.XHEA_CONTROL$$BY0A@E  [DirectWriteForwarder.dll]
             40         1  <CppImplementationDetails>.HEAD_CONTROL$$BY0A@E  [DirectWriteForwarder.dll]
             40         1  <CppImplementationDetails>.HHEA_CONTROL$$BY0A@E  [DirectWriteForwarder.dll]
             40         1  <CppImplementationDetails>.VHEA_CONTROL$$BY0A@E  [DirectWriteForwarder.dll]
             40         1  System.Windows.Forms.FontCache  [System.Windows.Forms.dll]
             40         1  System.Drawing.Color  [System.Drawing.Primitives.dll]
             40         1  CachingContext  [System.Text.Json.dll]
             40         1  System.Runtime.CompilerServices.ConditionalWeakTable<System.Text.Json.JsonSerializerOptions,System.Object>  [System.Private.CoreLib.dll]
             40         1  Microsoft.Win32.SystemEvents  [Microsoft.Win32.SystemEvents.dll]
             40         1  System.Buffers.SharedArrayPool<System.Boolean>  [System.Private.CoreLib.dll]
             40         1  ManagedWndProcTrackerShutDownListener  [WindowsBase.dll]
             40         1  System.Configuration.ImplicitMachineConfigHost  [System.Configuration.ConfigurationManager.dll]
             40         1  System.Buffers.SharedArrayPool<System.Char>  [System.Private.CoreLib.dll]
             40         1  ThreadLocalLockEntry  [System.Threading.dll]
             40         1  System.Configuration.ConfigurationValue  [System.Configuration.ConfigurationManager.dll]
             40         1  System.Buffers.SharedArrayPool<System.Byte>  [System.Private.CoreLib.dll]
             40         1  System.Text.Json.Serialization.Converters.UnsupportedTypeConverterFactory  [System.Text.Json.dll]
             40         1  System.Text.Json.Serialization.Converters.NullableConverterFactory  [System.Text.Json.dll]
             40         1  System.Text.Json.Serialization.Converters.EnumConverterFactory  [System.Text.Json.dll]
             40         1  System.Text.Json.Serialization.Converters.JsonNodeConverterFactory  [System.Text.Json.dll]
             40         1  System.Text.Json.Serialization.Converters.MemoryConverterFactory  [System.Text.Json.dll]
             40         1  System.Text.Json.Serialization.IAsyncEnumerableConverterFactory  [System.Text.Json.dll]
             40         1  System.Text.Json.Serialization.Converters.IEnumerableConverterFactory  [System.Text.Json.dll]
             40         1  System.Text.Json.Serialization.Converters.ObjectConverterFactory  [System.Text.Json.dll]
             40         1  System.Buffers.ReadOnlySequence<System.Byte>  [System.Memory.dll]
             40         1  System.Windows.Forms.ReadOnlyControlCollection  [System.Windows.Forms.dll]
             40         1  System.Runtime.CompilerServices.ConditionalWeakTable<System.Windows.Forms.IKeyboardToolTip,System.WeakReference<System.Windows.Forms.ToolTip>>  [System.Private.CoreLib.dll]
             40         1  System.Windows.Forms.SinglyLinkedList<System.Windows.Forms.RefCountedCache+CacheEntry<Windows.Win32.Graphics.Gdi.HFONT,System.Windows.Forms.FontCache+Data,System.ValueTuple<System.Drawing.Font,Windows.Win32.Graphics.Gdi.FONT_QUALITY>>>  [System.Windows.Forms.Primitives.dll]
             40         1  ColorWrapper  [System.Windows.Forms.dll]
             40         1  System.Collections.Generic.LinkedList<System.String>  [System.Collections.dll]
             40         1  System.Windows.Media.SafeMILHandle  [PresentationCore.dll]
             40         1  MS.Internal.Data.ValueConverterContext  [PresentationFramework.dll]
             40         1  System.Collections.Generic.Queue<MS.Internal.Data.DataBindOperation>  [System.Private.CoreLib.dll]
             40         1  DataBindEngineShutDownListener  [PresentationFramework.dll]
             40         1  Entry<MS.Utility.ItemStructList<System.Windows.ChildValueLookup>>  [PresentationFramework.dll]
             40         1  WeakEventTableShutDownListener  [WindowsBase.dll]
             40         1  System.ComponentModel.DelegatingTypeDescriptionProvider  [System.ComponentModel.TypeConverter.dll]
             40         1  System.Collections.Generic.Queue<System.WeakReference>  [System.Private.CoreLib.dll]
             40         1  System.Windows.Media.Animation.RepeatBehavior  [PresentationCore.dll]
             40         1  System.Windows.Documents.TextSegment[]  [PresentationFramework.dll]
             40         1  System.Windows.Input.InputLanguageSource  [PresentationCore.dll]
             40         1  PropertyRecord  [PresentationFramework.dll]
             40         1  TRACKMOUSEEVENT  [WindowsBase.dll]
             40         1  System.Collections.Generic.Queue<System.Windows.Input.RawStylusInputReport>  [System.Private.CoreLib.dll]
             40         1  System.Windows.Interop.HwndAppCommandInputProvider  [PresentationCore.dll]
             40         1  WeakEventPreprocessMessage  [PresentationCore.dll]
             40         1  System.Collections.Generic.Queue<System.Windows.Media.Composition.DUCE+Channel>  [System.Private.CoreLib.dll]
             40         1  NativeFactoryWrapper  [PresentationCore.dll]
             40         1  System.Windows.Media.TextFormatting.TextFormatterContext  [PresentationCore.dll]
             40         1  System.Windows.Media.FontFamilyMapCollection  [PresentationCore.dll]
             40         1  System.Windows.Media.FamilyTypefaceCollection  [PresentationCore.dll]
             40         1  System.Windows.Media.FamilyTypeface[]  [PresentationCore.dll]
             40         1  LineRecord  [PresentationFramework.dll]
             40         1  OffsetAndRule  [System.Private.CoreLib.dll]
             40         1  AdjustmentRule[]  [System.Private.CoreLib.dll]
             40         1  InternalMeasureQueue  [PresentationCore.dll]
             40         1  InternalArrangeQueue  [PresentationCore.dll]
             40         1  System.Collections.ObjectModel.ReadOnlyObservableCollection<System.Object>  [System.ObjectModel.dll]
             40         1  MS.Internal.Data.ViewTable  [PresentationFramework.dll]
             40         1  ListenerList<System.ComponentModel.CurrentChangingEventArgs>  [WindowsBase.dll]
             40         1  ItemBlock  [PresentationFramework.dll]
             40         1  System.Collections.Generic.Queue<System.Windows.DependencyObject>  [System.Private.CoreLib.dll]
             40         1  System.Windows.Input.ProcessInputEventArgs  [PresentationCore.dll]
             40         1  System.Windows.Input.PreProcessInputEventArgs  [PresentationCore.dll]
             40         1  TextServicesContextShutDownListener  [PresentationCore.dll]
             40         1  System.Threading.PeriodicTimer  [System.Private.CoreLib.dll]
             40         1  EventStorage  [WindowsBase.dll]
             40         1  System.Windows.Automation.OrCondition  [UIAutomationClient.dll]
             40         1  System.Windows.Automation.Condition[]  [UIAutomationClient.dll]
             40         1  TextEditorShutDownListener  [PresentationFramework.dll]
             40         1  WinEventHandlerShutDownListener  [PresentationFramework.dll]
             40         1  System.Windows.Input.CanExecuteChangedEventManager  [PresentationCore.dll]
             40         1  System.Windows.NullableBoolConverter  [PresentationFramework.dll]
             40         1  UnrealizedItemBlock  [PresentationFramework.dll]
             40         1  System.Windows.Point[]  [WindowsBase.dll]
             34       315  System.Int16[]  [System.Private.CoreLib.dll]
             32       542  System.Windows.Markup.StaticResourceHolder  [PresentationFramework.dll]
             32       541  MS.Internal.Data.WeakDependencySource  [PresentationFramework.dll]
             32       414  MS.Utility.LargeSortedObjectMap  [WindowsBase.dll]
             32       405  System.RuntimeType[]  [System.Private.CoreLib.dll]
             32       353  MS.Internal.Automation.HwndProxyElementProvider  [UIAutomationClient.dll]
             32       280  MS.Internal.Data.WeakDependencySource[]  [PresentationFramework.dll]
             32       239  BamlProperty  [PresentationFramework.dll]
             32       217  System.Windows.RoutedEventHandlerInfoList  [PresentationCore.dll]
             32       180  System.Windows.InstanceValueKey  [PresentationFramework.dll]
             32       172  Range[]  [PresentationCore.dll]
             32       167  System.Version  [System.Private.CoreLib.dll]
             32       139  System.Guid  [System.Private.CoreLib.dll]
             32       137  System.Collections.Generic.List<System.Object>  [System.Private.CoreLib.dll]
             32       134  System.Collections.Generic.List<SwitchBlade.Contracts.WindowItem>  [System.Private.CoreLib.dll]
             32       116  System.String[]  [System.Private.CoreLib.dll]
             32       103  System.Xaml.MS.Impl.AssemblyNamespacePair  [System.Xaml.dll]
             32       102  XmlNsDefinition  [System.Xaml.dll]
             32       101  MS.Internal.TextFormatting.ThousandthOfEmRealPoints  [PresentationCore.dll]
             32        84  System.Collections.Specialized.HybridDictionary[]  [System.Collections.Specialized.dll]
             32        76  MS.Utility.SingleObjectMap  [WindowsBase.dll]
             32        69  System.Windows.Input.KeyGesture  [PresentationCore.dll]
             32        61  System.Collections.Generic.List<System.Xaml.MS.Impl.XmlNsInfo+XmlNsDefinition>  [System.Private.CoreLib.dll]
             32        59  System.Windows.SetterBaseCollection  [PresentationFramework.dll]
             32        59  System.Collections.Generic.List<System.Windows.SetterBase>  [System.Private.CoreLib.dll]
             32        57  MS.Utility.SingleItemList<System.Object>  [WindowsBase.dll]
             32        50  System.Windows.BindingValueCache  [PresentationFramework.dll]
             32        47  System.Reflection.RuntimePropertyInfo[]  [System.Private.CoreLib.dll]
             32        45  System.Collections.Generic.List<System.Xaml.XamlNode>  [System.Private.CoreLib.dll]
             32        45  System.Windows.Automation.AutomationPattern[]  [UIAutomationTypes.dll]
             32        42  System.Windows.ClassHandlersStore  [PresentationCore.dll]
             32        41  System.Collections.ArrayList  [System.Private.CoreLib.dll]
             32        40  System.LazyHelper  [System.Private.CoreLib.dll]
             32        39  System.Windows.Data.RelativeSource  [PresentationFramework.dll]
             32        39  System.Windows.Automation.AutomationPattern[][]  [UIAutomationTypes.dll]
             32        38  System.Collections.Generic.List<System.String>  [System.Private.CoreLib.dll]
             32        36  System.Collections.Concurrent.ConcurrentDictionary<System.String,System.Xaml.XamlMember>  [System.Collections.Concurrent.dll]
             32        29  System.Windows.Size  [WindowsBase.dll]
             32        29  System.Collections.Generic.List<System.Windows.DependencyObject>  [System.Private.CoreLib.dll]
             32        29  System.Reflection.RuntimeMethodInfo[]  [System.Private.CoreLib.dll]
             32        28  System.Windows.Media.SafeMILHandleMemoryPressure  [PresentationCore.dll]
             32        26  BamlAssembly  [PresentationFramework.dll]
             32        26  System.Collections.Generic.List<System.Windows.TriggerBase>  [System.Private.CoreLib.dll]
             32        26  System.Windows.Media.Imaging.BitmapSizeOptions  [PresentationCore.dll]
             32        25  System.Collections.Generic.List<System.Collections.Generic.KeyValuePair<System.Int32,System.Object>>  [System.Private.CoreLib.dll]
             32        25  EqualityWeakReference  [PresentationFramework.dll]
             32        23  System.Windows.GridLength  [PresentationFramework.dll]
             32        21  System.Reflection.RuntimeConstructorInfo[]  [System.Private.CoreLib.dll]
             32        21  System.Windows.Controls.DefinitionBase[]  [PresentationFramework.dll]
             32        21  PatternInfo  [PresentationCore.dll]
             32        19  BuiltInUriParser  [System.Private.Uri.dll]
             32        18  MS.Internal.KnownBoxes.SizeBox  [PresentationFramework.dll]
             32        17  System.Reflection.CustomAttributeCtorParameter[]  [System.Private.CoreLib.dll]
             32        17  System.Reflection.CustomAttributeCtorParameter  [System.Private.CoreLib.dll]
             32        16  MS.Internal.Xaml.Context.XamlObjectWriterFactory  [System.Xaml.dll]
             32        16  System.Collections.Generic.List<System.Windows.Data.BindingBase>  [System.Private.CoreLib.dll]
             32        16  System.Collections.Generic.List<System.Windows.Data.BindingExpressionBase>  [System.Private.CoreLib.dll]
             32        16  MS.Utility.SingleItemList<System.Windows.Media.Transform>  [WindowsBase.dll]
             32        14  System.Reflection.RuntimeFieldInfo[]  [System.Private.CoreLib.dll]
             32        14  System.Collections.Concurrent.ConcurrentDictionary<System.Xaml.XamlDirective,System.Xaml.XamlMember>  [System.Collections.Concurrent.dll]
             32        14  System.ComponentModel.EnumConverter  [System.ComponentModel.TypeConverter.dll]
             32        13  System.ComponentModel.EventHandlerList  [System.ComponentModel.Primitives.dll]
             32        13  System.Windows.ConditionCollection  [PresentationFramework.dll]
             32        13  System.Collections.Generic.List<System.Windows.Condition>  [System.Private.CoreLib.dll]
             32        12  System.Drawing.Imaging.ImageFormat  [System.Drawing.Common.dll]
             32        12  IntMap  [PresentationCore.dll]
             32        11  ServiceAccessor  [Microsoft.Extensions.DependencyInjection.dll]
             32        11  MS.Internal.Text.TextInterface.Generics.NativeIUnknownWrapper<MS::Internal::Text::TextInterface::Native::IDWriteFont>  [DirectWriteForwarder.dll]
             32        10  System.Windows.Automation.SafeConditionMemoryHandle  [UIAutomationClient.dll]
             32        10  System.Collections.Generic.List<System.Reflection.Assembly>  [System.Private.CoreLib.dll]
             32        10  System.Windows.Forms.PropertyStore  [System.Windows.Forms.dll]
             32        10  MS.Utility.SingleItemList<System.Windows.RoutedEvent>  [WindowsBase.dll]
             32         9  System.Collections.Generic.List<System.Type>  [System.Private.CoreLib.dll]
             32         9  MS.Utility.ArrayItemList<System.Windows.PropertyValue>  [WindowsBase.dll]
             32         9  System.ComponentModel.PropertyDescriptor[]  [System.ComponentModel.TypeConverter.dll]
             32         9  BasedNormalizedName  [PresentationCore.dll]
             32         9  MS.Internal.FontCache.FontSource  [PresentationCore.dll]
             32         8  MS.Utility.ArrayItemList<System.Windows.RoutedEvent>  [WindowsBase.dll]
             32         8  System.Collections.Concurrent.ConcurrentDictionary<System.String,System.Xaml.XamlType>  [System.Collections.Concurrent.dll]
             32         8  System.Collections.Generic.List<System.Xaml.MS.Impl.AssemblyNamespacePair>  [System.Private.CoreLib.dll]
             32         8  MS.Utility.ArrayItemList<System.Windows.ContainerDependent>  [WindowsBase.dll]
             32         7  System.Collections.Generic.List<System.IO.Stream>  [System.Private.CoreLib.dll]
             32         7  System.Xaml.XamlType[]  [System.Xaml.dll]
             32         7  System.Collections.Generic.List<System.Windows.Baml2006.KeyRecord>  [System.Private.CoreLib.dll]
             32         7  SwitchBlade.Services.ThemeInfo  [SwitchBlade.dll]
             32         7  System.Collections.Stack  [System.Collections.NonGeneric.dll]
             32         6  Microsoft.Win32.SafeHandles.SafeRegistryHandle  [Microsoft.Win32.Registry.dll]
             32         6  System.Collections.Generic.List<System.Windows.Threading.DispatcherTimer>  [System.Private.CoreLib.dll]
             32         6  CultureNameResourceSetPair  [System.Private.CoreLib.dll]
             32         5  System.Runtime.InteropServices.HandleRef  [System.Private.CoreLib.dll]
             32         5  System.Windows.Threading.PriorityRange  [WindowsBase.dll]
             32         5  Microsoft.Win32.SafeHandles.SafeWaitHandle  [System.Private.CoreLib.dll]
             32         5  System.Collections.Generic.Stack<System.Windows.Threading.PriorityChain<System.Windows.Threading.DispatcherOperation>>  [System.Collections.dll]
             32         5  System.Collections.Generic.List<System.Threading.ThreadInt64PersistentCounter+ThreadLocalNodeFinalizationHelper>  [System.Private.CoreLib.dll]
             32         5  ThreadLocalNodeFinalizationHelper[]  [System.Private.CoreLib.dll]
             32         5  System.Collections.Generic.List<System.Windows.Forms.Layout.IArrangedElement>  [System.Private.CoreLib.dll]
             32         5  ItemInfo[]  [PresentationFramework.dll]
             32         5  MS.Internal.Shaping.ShapeTypeface  [PresentationCore.dll]
             32         4  System.Windows.UncommonField<System.Windows.DependencyObject>  [WindowsBase.dll]
             32         4  System.Windows.Duration  [PresentationCore.dll]
             32         4  System.Windows.UncommonField<System.Windows.Media.Pen>  [WindowsBase.dll]
             32         4  System.Windows.UncommonField<System.Windows.Threading.DispatcherOperation>  [WindowsBase.dll]
             32         4  MS.Utility.DpiAwarenessContextHandle  [WindowsBase.dll]
             32         4  System.Collections.Generic.List<System.WeakReference>  [System.Private.CoreLib.dll]
             32         4  System.Xaml.Schema.XamlMemberInvoker  [System.Xaml.dll]
             32         4  System.Text.Json.JsonEncodedText  [System.Text.Json.dll]
             32         4  SystemEventInvokeInfo  [Microsoft.Win32.SystemEvents.dll]
             32         4  System.Collections.Generic.List<System.Windows.Baml2006.Baml2006SchemaContext+BamlAssembly>  [System.Private.CoreLib.dll]
             32         4  System.Collections.Generic.List<System.Windows.Input.CommandBinding>  [System.Private.CoreLib.dll]
             32         4  MS.Utility.ArrayItemList<System.Windows.ChildRecord>  [WindowsBase.dll]
             32         4  System.Windows.DataTemplateKey  [PresentationFramework.dll]
             32         4  System.Collections.Generic.List<System.Windows.Controls.ItemsControl+ItemInfo>  [System.Private.CoreLib.dll]
             32         4  MS.Utility.ArrayItemList<System.Windows.WeakEventManager+Listener>  [WindowsBase.dll]
             32         4  MS.Utility.ArrayItemList<System.Object>  [WindowsBase.dll]
             32         3  System.Windows.UncommonField<System.Collections.Specialized.HybridDictionary[]>  [WindowsBase.dll]
             32         3  System.Collections.BitArray  [System.Collections.dll]
             32         3  System.Windows.UncommonField<System.Windows.DataTemplate>  [WindowsBase.dll]
             32         3  System.Collections.Generic.List<Microsoft.Win32.SystemEvents+SystemEventInvokeInfo>  [System.Private.CoreLib.dll]
             32         3  System.Xaml.Schema.ReferenceEqualityTuple<System.Reflection.MemberInfo,System.Reflection.MemberInfo>  [System.Xaml.dll]
             32         3  System.Collections.Generic.Stack<System.Xaml.XamlWriter>  [System.Collections.dll]
             32         3  System.Drawing.FontFamily  [System.Drawing.Common.dll]
             32         3  System.Collections.Generic.List<SwitchBlade.Contracts.IWindowProvider>  [System.Private.CoreLib.dll]
             32         3  System.Collections.Generic.List<System.Xaml.XamlType>  [System.Private.CoreLib.dll]
             32         3  System.Collections.Generic.List<System.Windows.Input.InputBinding>  [System.Private.CoreLib.dll]
             32         3  System.Windows.Baml2006.TypeConverterMarkupExtension  [PresentationFramework.dll]
             32         3  BasedFriendlyName  [PresentationCore.dll]
             32         3  MS.Internal.FontCache.CanonicalFontFamilyReference[]  [PresentationCore.dll]
             32         3  MS.Internal.UnsafeStringCharacterBuffer  [PresentationCore.dll]
             32         3  System.Collections.Generic.List<MS.Internal.Shaping.ScaledShapeTypeface>  [System.Private.CoreLib.dll]
             32         3  System.Collections.Generic.List<System.ComponentModel.SortDescription>  [System.Private.CoreLib.dll]
             32         3  System.Globalization.GregorianCalendar  [System.Private.CoreLib.dll]
             32         3  MS.Utility.ArrayItemList<System.Windows.Dependent>  [WindowsBase.dll]
             32         2  System.Collections.Generic.List<System.Threading.TimerQueue>  [System.Private.CoreLib.dll]
             32         2  System.Windows.Media.NumberSubstitution  [PresentationCore.dll]
             32         2  System.Windows.UncommonField<System.Collections.Specialized.HybridDictionary>  [WindowsBase.dll]
             32         2  System.Windows.UncommonField<MS.Utility.FrugalMap>  [WindowsBase.dll]
             32         2  MS.Internal.Data.ExplicitObjectRef  [PresentationFramework.dll]
             32         2  System.Windows.UncommonField<System.Windows.Media.StreamGeometry>  [WindowsBase.dll]
             32         2  System.Windows.Point  [WindowsBase.dll]
             32         2  System.Windows.UncommonField<System.EventHandler>  [WindowsBase.dll]
             32         2  System.Windows.UncommonField<System.Object>  [WindowsBase.dll]
             32         2  System.Xaml.XamlNode  [System.Xaml.dll]
             32         2  System.Windows.UncommonField<System.Windows.EventHandlersStore>  [WindowsBase.dll]
             32         2  System.Windows.UncommonField<System.Windows.Automation.Peers.AutomationPeer>  [WindowsBase.dll]
             32         2  System.Collections.Generic.List<System.Double>  [System.Private.CoreLib.dll]
             32         2  System.Windows.UncommonField<System.WeakReference>  [WindowsBase.dll]
             32         2  System.Windows.UncommonField<System.Windows.Media.Effects.BitmapEffectState>  [WindowsBase.dll]
             32         2  System.Windows.UncommonField<System.Windows.Media.DoubleCollection>  [WindowsBase.dll]
             32         2  System.Drawing.Rectangle  [System.Drawing.Primitives.dll]
             32         2  System.Windows.Automation.NotCondition  [UIAutomationClient.dll]
             32         2  PackageThreadSafePair  [PresentationCore.dll]
             32         2  System.Collections.Generic.List<System.Windows.ResourceDictionary>  [System.Private.CoreLib.dll]
             32         2  CacheEntry<System.ValueTuple<System.String,System.Type,System.Reflection.MemberInfo>>  [System.Text.Json.dll]
             32         2  System.Reflection.Emit.GenericMethodInfo  [System.Private.CoreLib.dll]
             32         2  System.Collections.Generic.List<System.Windows.Media.SolidColorBrush>  [System.Private.CoreLib.dll]
             32         2  RectangleWrapper  [System.Windows.Forms.dll]
             32         2  Node<System.Windows.Forms.RefCountedCache+CacheEntry<Windows.Win32.Graphics.Gdi.HFONT,System.Windows.Forms.FontCache+Data,System.ValueTuple<System.Drawing.Font,Windows.Win32.Graphics.Gdi.FONT_QUALITY>>>  [System.Windows.Forms.Primitives.dll]
             32         2  System.Windows.Controls.VirtualizationCacheLength  [PresentationFramework.dll]
             32         2  System.Reflection.RuntimeEventInfo[]  [System.Private.CoreLib.dll]
             32         2  System.Collections.Concurrent.ConcurrentDictionary<System.Type,System.ComponentModel.ReflectTypeDescriptionProvider+ReflectedTypeData>  [System.Collections.Concurrent.dll]
             32         2  MS.Internal.DpiScale2  [PresentationCore.dll]
             32         2  System.Windows.FigureLength  [PresentationFramework.dll]
             32         2  System.Collections.Generic.List<System.Windows.Media.Composition.DUCE+Map+Entry>  [System.Private.CoreLib.dll]
             32         2  System.Collections.Generic.List<System.Windows.Input.TabletDevice>  [System.Private.CoreLib.dll]
             32         2  MS.Internal.Text.TextInterface.FontFamily  [DirectWriteForwarder.dll]
             32         2  MS.Internal.Text.TextInterface.Generics.NativeIUnknownWrapper<MS::Internal::Text::TextInterface::Native::IDWriteFontList>  [DirectWriteForwarder.dll]
             32         2  MS.Internal.FontFace.PhysicalFontFamily  [PresentationCore.dll]
             32         2  Internal.Win32.SafeHandles.SafeRegistryHandle  [System.Private.CoreLib.dll]
             32         2  System.ComponentModel.SortDescriptionCollection  [WindowsBase.dll]
             32         2  System.Collections.Generic.List<System.ComponentModel.GroupDescription>  [System.Private.CoreLib.dll]
             32         2  MS.Internal.Data.WeakRefKey  [PresentationFramework.dll]
             32         2  MS.Utility.ArrayItemList<System.Windows.RouteItem>  [WindowsBase.dll]
             32         2  MS.Utility.ArrayItemList<System.Windows.SourceItem>  [WindowsBase.dll]
             32         2  System.Collections.Generic.Stack<System.Windows.EventRoute+BranchNode>  [System.Collections.dll]
             32         2  System.Collections.Generic.List<System.Windows.Input.CanExecuteChangedEventManager+HandlerSink>  [System.Private.CoreLib.dll]
             32         1  MS.Internal.Text.TextInterface.FontCollectionLoader  [DirectWriteForwarder.dll]
             32         1  LeapSecondCache  [System.Private.CoreLib.dll]
             32         1  System.ValueTuple<System.Int64,System.DateTime>  [System.Private.CoreLib.dll]
             32         1  System.Diagnostics.Tracing.ActivityTracker  [System.Private.CoreLib.dll]
             32         1  System.Collections.Generic.List<System.Func<System.Diagnostics.Tracing.EventSource>>  [System.Private.CoreLib.dll]
